PERMNO,date,TICKER,PRC,VOL,RET
14593,26-09-91,AAPL,50,637163,-0.009901
14593,27-09-91,AAPL,49,561953,-0.02
14593,30-09-91,AAPL,49.5,565597,0.010204
14593,01-10-91,AAPL,50.75,1174147,0.025253
14593,02-10-91,AAPL,49.75,1602486,-0.019704
14593,03-10-91,AAPL,47.75,1604268,-0.040201
14593,04-10-91,AAPL,48.25,710149,0.010471
14593,07-10-91,AAPL,48.125,579679,-0.002591
14593,08-10-91,AAPL,48.25,1549905,0.002597
14593,09-10-91,AAPL,48,1187120,-0.005181
14593,10-10-91,AAPL,47.75,1430644,-0.005208
14593,11-10-91,AAPL,48.5,1073605,0.015707
14593,14-10-91,AAPL,49.875,1000587,0.028351
14593,15-10-91,AAPL,52.5,2589000,0.052632
14593,16-10-91,AAPL,53.5,1797732,0.019048
14593,17-10-91,AAPL,52.375,1371344,-0.021028
14593,18-10-91,AAPL,55,4017449,0.050119
14593,21-10-91,AAPL,54.75,1044862,-0.004545
14593,22-10-91,AAPL,54.5,1908280,-0.004566
14593,23-10-91,AAPL,53.125,1509084,-0.025229
14593,24-10-91,AAPL,52.125,1590610,-0.018824
14593,25-10-91,AAPL,51.25,956724,-0.016787
14593,28-10-91,AAPL,51.5,696612,0.004878
14593,29-10-91,AAPL,51.75,905232,0.004854
14593,30-10-91,AAPL,49.75,1325420,-0.038647
14593,31-10-91,AAPL,51.5,2071920,0.035176
14593,01-11-91,AAPL,51,1698797,-0.009709
14593,04-11-91,AAPL,49.75,1746411,-0.02451
14593,05-11-91,AAPL,48.75,1946101,-0.020101
14593,06-11-91,AAPL,48,2117257,-0.015385
14593,07-11-91,AAPL,49.75,2661602,0.036458
14593,08-11-91,AAPL,53.25,3398437,0.070352
14593,11-11-91,AAPL,53.75,1475923,0.00939
14593,12-11-91,AAPL,54.5,1526024,0.013953
14593,13-11-91,AAPL,54.125,1648146,-0.006881
14593,14-11-91,AAPL,54.75,1681601,0.011547
14593,15-11-91,AAPL,50,2296896,-0.086758
14593,18-11-91,AAPL,52.125,2151714,0.0449
14593,19-11-91,AAPL,51.25,2537078,-0.016787
14593,20-11-91,AAPL,50.5,1502850,-0.014634
14593,21-11-91,AAPL,51,955894,0.009901
